LIMIT_BAL,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,SEX,EDUCATION,MARRIAGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,IS_MALE,EDUCATION_1,EDUCATION_2,EDUCATION_3,EDUCATION_4,EDUCATION_5,EDUCATION_6,MARRIAGE_1,MARRIAGE_2,MARRIAGE_3,PAY_1_-1,PAY_1_0,PAY_1_1,PAY_1_2,PAY_1_3,PAY_2_-1,PAY_2_0,PAY_2_1,PAY_2_2,PAY_2_3,PAY_3_-1,PAY_3_0,PAY_3_1,PAY_3_2,PAY_3_3,PAY_4_-1,PAY_4_0,PAY_4_2,PAY_4_3,PAY_5_-1,PAY_5_0,PAY_5_2,PAY_5_3,PAY_6_-1,PAY_6_0,PAY_6_2,PAY_6_3,NEXT_MONTH_DEFAULT
1.4736987505457289,-0.054294901388728896,-0.6828514750715914,-0.6815493912560715,-0.6774682720647341,-0.6614132548699639,-0.6520981343652866,-0.6209452145865614,-0.4013770916904572,-0.3063254727841838,-0.287428667198872,-0.3201372342110097,-0.2330649522744207,0.45580626792774687,2,1,2,1,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
0.017842449404958254,-0.8086045606027111,-0.6522374203190427,-0.6815493912560715,-0.6774682720647341,-0.6614132548699639,-0.6520981343652866,-0.6413125126607984,-0.4013770916904572,-0.3063254727841838,-0.287428667198872,-0.3201372342110097,-0.3186580672304366,-0.288717953474312,2,1,2,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
-0.9016457407892127,-0.3775704696232927,-0.4094280347555679,-0.5312314949233368,-0.6774682720647341,-0.6497011430029754,-0.6393784230325685,-0.2043995315079035,-0.2966225707084433,-0.3063254727841838,-0.24573542260416276,-0.3190529561402193,1.4628089388992018,-0.23902064012487348,1,1,2,0,0,0,-1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
-0.21202959814358446,0.9155318033149625,0.44016522646200884,0.49683604049434726,0.564094628624052,0.6889163685282745,0.7984301572366919,0.8703608134900163,-0.17523799111553554,-0.14768248030930942,-0.0660305626972371,-0.10118083129077382,-0.09805938689693669,-0.09869881419704708,1,2,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
0.7074585920505865,2.5319096444877816,-0.6571756004552147,-0.6902295644924525,-0.618405418571133,-0.6494750404572807,-0.631101788672313,-0.6018406233977642,-0.3548277758465715,0.06540127266598174,-0.244930533712373,-0.23122643240619709,-0.15229592592301117,-0.2504802559089793,1,1,1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
-0.9016457407892127,-1.4551556970718387,0.1756464829414006,0.12501452090468163,-0.6717391467016636,-0.011880935101107215,-0.1734327805305131,-0.14195293644615278,-0.37546686644402005,-0.27638808600253134,2.6134445580708525,1.8744415810687545,-0.24395360941053224,-0.20978692638990964,2,2,2,-1,-1,-1,-1,-1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
-0.7483977090901842,-1.1318801288372748,-0.2657416342974103,-0.20477668617198133,-0.31786207408845374,-0.3460604976379607,-0.35970517360347154,-0.3007916233600491,-0.10441175935306826,-0.151908934913778,-0.1264508888409213,-0.18460247536221,-0.12224874547146292,-0.12208578518501816,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0.0944664652544725,-0.4853289923681473,-0.6706857159221002,-0.6689929046126942,-0.6646098859630793,-0.6475004115582131,-0.6373092644425046,-0.6290134196208002,-0.3340402025829543,-0.26104203059344894,-0.23790117072407582,-0.25765571038171303,-0.26697140360965405,-0.24217788120824957,1,1,2,-1,-1,-1,-1,-1,-1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
-0.9016457407892127,-1.1318801288372748,-0.1480239385445668,0.240030277280843,-0.4019987804802819,-0.379855291467804,-0.4438990762332794,-0.5028739214025789,-0.2900150920639364,-0.18556962694222423,0.018429111681234372,0.222001801184189,-0.11797598127881156,-0.23902064012487348,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
-1.1315177883377554,-0.9163630833475657,-0.6756238960582722,-0.6528923599972061,-0.6721820466673872,-0.6617147249308903,-0.6395869428904819,-0.643772331268798,-0.3197116252976753,-0.045040011343643785,-0.287428667198872,-0.2659233306714898,-0.3289953999545931,-0.2974880675948011,1,6,2,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
