Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Home Ownership_1,Home Ownership_2,Home Ownership_3,Purpose_0,Purpose_1,Purpose_2,Term_1,Term_2
2,-0.20734605675401982,-0.5724894673356696,0,-0.4341227023397134,-0.826171449363225,-0.045190579050439175,-0.3409788778582933,0,0,2,-0.36683089413163855,-0.578660138778856,-0.9644041187562659,-0.23144770500496747,0,1,0,1,0,0,0,1
2,-1.445012504366262,-1.3965578580370046,0,-1.0452953217017178,2.042545164478506,-0.05548826851492096,-0.3409788778582933,0,1,2,-0.3694675315991603,-0.7670161688734753,-1.341312678626604,-0.25369712188773996,0,1,0,0,1,0,0,1
1,-0.2282868548005306,-0.8471789309027813,0,-0.23039849588571198,-0.6557526406201519,-0.04621197365936791,-0.3409788778582933,0,0,2,-0.3656497136247561,-0.45097734592512484,0.03475993005684867,4.30812863335821,1,0,0,1,0,0,0,1
1,-0.138723513515274,1.0756473140670004,0,0.9919467428382966,-0.1871009165767008,-0.03050528586265599,-0.3409788778582933,0,0,2,-0.36511080863270123,-0.24110174400122497,0.7751609497798935,-0.22588535078427432,1,0,0,1,0,0,0,1
1,1.34222278094666,-0.023110540201446223,0,-0.026674289431710546,0.7502025315102014,0.016356683190814996,-0.3409788778582933,0,0,1,-0.3475612504131748,0.426483195413789,2.0367774551879263,-0.24883006194463347,1,0,0,1,0,0,1,0
1,-0.5321795151805307,-0.2978000037685579,0,3.029188807378311,-0.11609307960042034,-0.014475980145113079,-0.3409788778582933,0,0,2,-0.36897479877394385,-0.48552821402880303,-0.6009116589035592,-0.2676030074394728,1,0,0,1,0,0,0,1
1,-0.12154904605266804,-0.8471789309027813,0,-0.8415711152477163,0.5229774531861038,-0.035490075950048786,-0.3409788778582933,0,2,2,-0.35768673768716763,0.00966104439830795,-0.8496964636055155,-0.26343124177395294,1,0,0,0,0,1,0,1
2,-0.14459898922616554,-0.8471789309027813,0,0.3807741234762923,-0.8687761515489933,-0.046755619177023526,-0.3409788778582933,0,0,2,-0.35914839687917327,-0.5340070272330989,-0.8984975274196505,-0.2523065333325667,0,1,0,1,0,0,0,1
2,-0.20734605675401982,-0.2978000037685579,0,-0.6378469087937149,-1.3090247408019322,-0.03585799766401774,-0.3409788778582933,0,1,2,-0.36778672689887654,-0.1638703917694737,-0.6877809065177239,-0.23144770500496747,0,1,0,0,1,0,0,1
1,1.0772488699336764,1.0756473140670004,1,0.7882225363842952,-0.22970561876246917,-0.004834509260023677,1.6647792271904904,0,0,2,-0.35966180380894425,0.014682277825140075,0.004825256892508134,-0.2217135851187545,1,0,0,1,0,0,0,1
3,-0.5073719510678777,-1.6712473216041164,0,-0.23039849588571198,-1.7918780322406394,-0.023182545480900773,-0.3409788778582933,0,0,2,-0.3616768398661929,-0.3070950976110186,-1.221238583468801,-0.22727593933944762,0,0,1,1,0,0,0,1
1,0.3256901563507495,1.0756473140670004,0,-0.026674289431710546,0.5513805879766159,-0.028693134137137262,-0.3409788778582933,0,0,1,-0.3610614406872863,0.09561977853860075,1.4515839425438575,-0.2557830047204999,1,0,0,1,0,0,1,0
1,-0.3576979736635002,-1.121868394469893,0,-0.026674289431710546,-0.6131479384343835,-0.03986395125118716,-0.3409788778582933,0,0,2,-0.36705210705037206,-0.27511462280917115,-0.28295008848569003,4.148210949513283,1,0,0,1,0,0,0,1
2,-0.12257850974560203,-0.8471789309027813,0,0.7882225363842952,-0.513736966667591,-0.031427835832010975,-0.3409788778582933,0,0,2,-0.3653175496782466,-0.19328047326949044,0.9705329062866538,-0.23909594205842052,0,1,0,1,0,0,0,1
1,0.1963794729700174,-1.6712473216041164,0,0.3807741234762923,-0.45693069708656664,-0.03839226439531135,-0.3409788778582933,0,1,1,-0.36277601309167573,-0.14629607477556128,-0.09386692886219443,-0.25300182761015333,1,0,0,0,1,0,1,0
2,-0.27353303954850716,1.0756473140670004,0,0.9919467428382966,1.2472573903441648,-0.0167507796975256,-0.3409788778582933,0,0,2,-0.3602413678732897,0.6804141429992994,0.44914971935144515,-0.24535359055670028,0,1,0,1,0,0,0,1
2,-0.20734605675401982,-1.3965578580370046,0,2.0105677751083038,-1.1244043646636028,-0.02070181959604294,-0.3409788778582933,0,0,2,-0.3544574425557493,0.6198604589352404,0.6637234690084408,-0.23144770500496747,0,1,0,1,0,0,0,1
1,-0.10412348988446841,0.8009578504998889,0,-0.23039849588571198,0.6507915597434084,-0.036673465940501165,-0.3409788778582933,0,0,2,2.76051988315993,0.01569847982818943,0.2323958534415844,-0.23283829356014074,1,0,0,1,0,0,0,1
1,1.166184489454949,1.0756473140670004,0,-0.026674289431710546,0.849613503276994,0.0543226346826486,-0.3409788778582933,0,0,2,-0.35742348742250657,1.3229526918685672,0.13043349330758414,-0.21893240800840794,1,0,0,1,0,0,0,1
2,1.2818610561219455,0.5262683869327771,0,0.9919467428382966,2.085149866664274,-0.02721595591239624,-0.3409788778582933,0,0,1,-0.3649826291844631,-0.5149382955288198,-0.263832145960565,-0.22658064506186099,0,1,0,1,0,0,1,0
1,-0.20734605675401982,-0.2978000037685579,0,-0.23039849588571198,0.8780166380675061,0.1964021941743982,-0.3409788778582933,0,0,1,-0.36112966523231627,0.5448408404748319,-0.4680922687290063,-0.23144770500496747,1,0,0,1,0,0,1,0
1,-0.8060419663715298,0.5262683869327771,0,0.9919467428382966,-0.982388690711042,-0.029213441337115745,-0.3409788778582933,0,1,2,-0.36372633276436583,-0.3338152326323753,-0.9508203174884138,-0.23353358783772737,1,0,0,0,1,0,0,1
3,-0.4817609030973249,0.5262683869327771,0,1.1956709492922981,-0.9255824211300175,-0.027005911053302023,-0.3409788778582933,0,0,2,2.76051988315993,-0.3953253421110688,-0.09906566761902669,-0.23005711644979418,0,0,1,1,0,0,0,1
1,1.5205961974003923,-1.121868394469893,0,-0.6378469087937149,0.7928072336959694,0.016463764883686557,-0.3409788778582933,0,2,2,-0.3636305427465965,-0.2844397706018594,-0.9803357375272034,-0.21754181945323464,1,0,0,0,0,1,0,1
1,-0.4956963262577727,-1.3965578580370046,0,0.1770499170222909,0.6649931271386648,-0.05307618474087823,-0.3409788778582933,0,0,2,-0.3686116236706025,-0.7167440580167395,-0.2276925265380698,-0.23631476494807396,1,0,0,1,0,0,0,1
1,-0.7780706845683967,-0.023110540201446223,0,-0.23039849588571198,-0.41432599490079824,-0.04413760907053549,-0.3409788778582933,0,1,2,-0.3641170733404466,-0.5738780117056825,-0.8820628048980518,-0.22936182217220755,1,0,0,0,1,0,0,1
1,-0.6472534689541026,-1.6712473216041164,0,-0.23039849588571198,-0.44272912969131056,-0.03950838511716493,-0.3409788778582933,0,0,1,-0.363655351672062,-0.3166593517573655,-0.29804320100552556,-0.24535359055670028,1,0,0,1,0,0,1,0
1,-0.20734605675401982,-0.023110540201446223,0,-0.23039849588571198,-1.6924670604738465,-0.01959119024305457,-0.3409788778582933,0,0,2,-0.35799409270821175,0.278416585910656,0.06066977321589973,-0.23144770500496747,1,0,0,1,0,0,0,1
3,-0.8899809206514886,0.5262683869327771,0,-0.6378469087937149,-1.1244043646636028,-0.04808178475797132,-0.3409788778582933,0,0,2,-0.36752967886558185,-0.6005981467270393,-0.5518590432140937,-0.22588535078427432,0,0,1,1,0,0,0,1
2,-0.396641831901076,0.5262683869327771,0,-0.026674289431710546,-0.5421401014581031,-0.044431397304824136,-0.3409788778582933,0,1,2,-0.36921599666041344,-0.7452574906905362,0.4413516112161968,-0.22936182217220755,0,1,0,0,1,0,0,1
2,-0.2242192177699134,-0.8471789309027813,1,-0.8415711152477163,-1.6782654930785905,-0.043696926719102525,1.6647792271904904,0,1,2,-0.36786391022254683,-0.8679190501174352,-1.4420172793839514,-0.25369712188773996,0,1,0,0,1,0,0,1
1,-0.20734605675401982,1.0756473140670004,0,-1.0452953217017178,0.2957523748620061,-0.043522575757632166,1.6647792271904904,1,0,2,-0.36848137681190896,-0.7113043884710046,-0.9932487337941738,-0.23144770500496747,1,0,0,1,0,0,0,1
1,0.22558108943055943,-1.121868394469893,0,-0.026674289431710546,-1.5078466843355176,-0.00723698313855229,-0.3409788778582933,0,0,2,-0.35903331103048636,0.6449666260694011,0.28320933225836414,-0.23631476494807396,1,0,0,1,0,0,0,1
2,-0.7683284427913629,-1.3965578580370046,0,-0.026674289431710546,0.23894610528098198,-0.001125089591575498,-0.3409788778582933,0,0,2,2.76051988315993,0.04289682755686344,-0.27775134972885773,-0.2286665278946209,0,1,0,1,0,0,0,1
