Annual Income,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Current Loan Amount,Years in current job,Current Credit Balance,Monthly Debt,Credit Score,Bankruptcies,Home Ownership_1,Home Ownership_2,Home Ownership_3,Purpose_0,Purpose_1,Purpose_2,Term_1,Term_2,Credit Default
1.329768781149215,0.7882225363842952,4.371602217300505,-0.014670923739827972,-0.3409788778582933,-0.35430238677159026,-0.5724894673356696,-0.3041062681902852,0.7126083834476861,-0.21893240800840794,0,1,0,0,0,0,1,0,1,0
-0.20734605675401982,0.5844983299302937,0.23894610528098198,0.013594524651615241,-0.3409788778582933,-0.3488919736096684,1.0756473140670004,1.0821128171458694,0.2253524009323278,-0.23144770500496747,0,0,1,0,1,0,0,0,1,0
-0.0115219752615286,1.1956709492922981,-0.5421401014581031,-0.03980629187810247,-0.3409788778582933,-0.3637339132693692,-0.8471789309027813,-0.4861259799129497,0.8194340798380777,-0.28150889299120563,0,1,0,0,0,1,0,1,0,0
-0.20734605675401982,0.9919467428382966,-0.22970561876246917,0.0018882990732075344,-0.3409788778582933,-0.3676868020601963,1.0756473140670004,1.5688138000180973,0.6711861746432484,-0.23144770500496747,0,1,0,0,0,1,0,0,1,1
-0.4757347741630772,-1.2490195281557193,-0.7125589102011761,-0.03567815533368217,1.6647792271904904,-0.3649178503235256,1.0756473140670004,-0.5273120493306561,-0.23389747279622441,-0.22240887939634113,1,0,1,0,1,0,0,0,1,0
-0.07911505480734041,-0.4341227023397134,-0.3717212927150301,-0.04348962754444092,-0.3409788778582933,-0.3677474461002229,1.0756473140670004,-0.8336072883674157,0.5315748838347694,-0.23631476494807396,0,1,0,0,0,1,0,0,1,1
-1.2180283145095983,-0.6378469087937149,-1.3516294429877003,-0.035771508604390705,-0.3409788778582933,-0.36533271068825324,-0.5724894673356696,-0.3803214184189871,-1.1352078421057383,-0.2286665278946209,0,0,1,0,1,0,0,0,1,0
-0.11680346951694796,0.3807741234762923,1.5880950078303107,0.022993002464419175,-0.3409788778582933,-0.36096151584860603,-1.6712473216041164,1.865006795612778,1.3510470430367305,4.40546983222034,0,1,0,0,1,0,0,1,0,1
-0.6229480822526369,-1.2490195281557193,-1.2380169038256517,-0.03669131288931309,-0.3409788778582933,-0.3648813260721459,-0.2978000037685579,-0.21988105511401776,-1.0732422301493023,-0.2286665278946209,0,1,0,0,1,0,0,0,1,0
0.5207107539853411,-0.4341227023397134,-0.2155040513672129,-0.0375603220122323,-0.3409788778582933,-0.36369669988117104,1.0756473140670004,-0.38211471607142716,-0.504902693152383,-0.2356194706704873,0,1,0,0,0,0,1,1,0,0
-0.15652570274186411,-0.026674289431710546,-0.6131479384343835,-0.03162003374229326,-0.3409788778582933,-0.3611455153791414,0.25157892336566545,0.010199033694039962,-0.6502158264683554,-0.24883006194463347,0,0,1,0,1,0,0,0,1,0
-0.05352911570734701,0.1770499170222909,0.2531476726762383,-0.039726667029556954,-0.3409788778582933,-0.36381592055076883,1.0756473140670004,-0.37870745053179106,0.7446393222397815,-0.23909594205842052,0,1,0,0,1,0,0,1,0,0
-0.20734605675401982,1.3993951557462996,-0.32911659052926173,-0.019920672374967068,-0.3409788778582933,-0.35428929317203905,-0.5724894673356696,0.5984006636943746,1.5745928095805173,-0.23144770500496747,0,1,0,0,1,0,0,1,0,1
-1.1012469575379895,-1.0452953217017178,-0.1586977817861887,-0.0457424616213926,-0.3409788778582933,-0.36623479078364946,1.0756473140670004,-0.471480715751356,-1.1162576008308336,-0.2968053670981117,0,0,0,1,1,0,0,0,1,1
-0.009764354322373017,1.3993951557462996,-0.30071345573874964,-0.017497605863193922,-0.3409788778582933,-0.3534485462534879,-0.5724894673356696,0.6414398073529357,0.5271308007039289,-0.27664183304809914,0,0,1,0,0,1,0,1,0,1
-0.20734605675401982,2.0105677751083038,-0.30071345573874964,0.09503015208043743,-0.3409788778582933,-0.35939028390246136,1.0756473140670004,2.729436040677294,2.0690599458553525,-0.23144770500496747,0,1,0,0,1,0,0,0,1,1
